,China,United States,United Kingdom,Australia,Germany,Angola,Albania,United Arab Emirates,Argentina,Armenia,Austria,Azerbaijan,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,Belarus,Belize,Bolivia,Brazil,Barbados,Brunei,Botswana,Canada,Chile,Switzerland,Cameroon,Colombia,Costa Rica,Cuba,Cyprus,Czech Republic,Algeria,Denmark,Dominican Republic,Ecuador,Egypt,Estonia,Ethiopia,Spain,Finland,Fiji,France,Georgia,Ghana,Greece,Guatemala,Honduras,Hungary,India,Indonesia,Ireland,Iran,Iceland,Israel,Italy,Cambodia,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kyrgyz Republic,Kuwait,Sri Lanka,Latvia,Lesotho,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Mauritania,Mauritius,Macedonia,Mexico,Mongolia,Mozambique,Namibia,Nepal,New Zealand,Nicaragua,Nigeria,Netherlands,Norway,Oman,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Paraguay,Qatar,Romania,Russia,Saudi Arabia,Singapore,El Salvador,Suriname,Slovakia,Slovenia,Sweden,Syria,Chad,Thailand,Tajikistan,Trinidad and Tobago,Tunisia,South Africa,Turkey,"Tanzania, United Republic of",Uganda,Ukraine,Uruguay,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
1920,609.83,703.97,1184.15,514.35,652.04,983.39,939.78,64.94,551.03,771.58,1149.41,538.84,750.46,917.93,788.16,2331.26,631.25,91.8,490.35,2069.54,1144.46,1761.86,2016.95,2980.52,411.32,496.23,612.11,1429.64,1651.34,2687.08,2555.51,1224.75,540.22,731.59,63.89,710.96,1393.34,1709.24,44.6,491.07,833.09,559.18,475.38,2598.93,777.1,1059.75,999.7,794.59,2684.34,1932.31,619.17,875.39,2785.62,1227.33,271.68,940.31,395.21,936.74,1740.94,1184.78,1778.54,135.96,242.99,651.32,441.56,118.05,1582.69,508.04,774.58,539.19,781.92,1386.57,1121.82,2838.12,2365,351.1,104.87,1941.77,637.62,642.1,220.08,1086.3,238.63,1226.74,1973.07,2262.96,1209.86,644.29,1078.22,86.73,214.43,2397.86,1585.85,2254.78,587.99,713.34,1088.62,71.86,634.27,403.66,78.97,2088.4,1718.05,1983.49,857.34,1205.9,600.96,286.48,349.31,1421.03,573.69,1817.85,237.49,516.42,612.09,968.42,1170.32,426.46,1077.24,210.53,1957.25,1962.52,179.4,996.68,701.09
1921,595.9,655.43,917.15,558.83,523.54,1004.57,853.84,67.93,548.93,523.43,943.02,423.92,445.4,1144.19,718.84,2426.88,541.63,65.32,577.88,2153.02,1071.3,1804.11,2016.95,3236.02,494.67,503.28,598.09,1074.01,1599.37,2934.18,2451.46,1257.38,566.73,554.33,81.99,643.82,1401.15,2282.71,49.05,592.61,759.19,526.7,560.38,4150.19,517.59,931.15,1302.78,727.4,2746.63,1932.31,484.78,1054.54,2899.2,926.99,225.91,1202.73,343.32,680.59,1788.66,2197.26,1796.69,119.81,251.6,468.62,466.68,96.05,1622.98,596.82,862.39,621.61,479.79,1385.11,1083.64,3158.31,2365,305.26,73.7,1941.77,558.73,693.8,218.85,1041.35,317.26,1377.19,1766.79,2242.98,1221.87,436.53,1211.23,98.95,287.27,2377.09,1571.69,2787.62,517.3,571.47,1062.74,66.5,549.79,415.63,77.99,2528.2,1718.05,2224.17,624.62,929.88,638.02,302.83,340,1498.44,591.27,2079.89,328.01,568.18,601.53,890.3,944.84,412.33,1030.78,199.6,1946.38,1936.72,173.61,1030.13,822.24
1922,586.66,686.77,1093.6,434.74,809.92,945.94,1040.55,62.19,559.79,651.16,1318.53,447.15,909.28,1040.2,940.81,2731.38,610.6,53.76,741.71,2079.66,1119.04,1779,2016.95,3097.07,265.46,477.44,617.18,2011.8,1673.62,2656.98,2385.36,1300.2,463.41,776.8,69.7,662.67,1414.17,1867.8,36.08,592.97,776.84,563.88,514.83,3961.14,905.46,1110.99,1141.14,639.99,2676.07,1932.31,677.25,1087.6,2759.51,979.14,210.25,1048.06,285.09,836.46,1637.98,1462.81,1631.14,106.95,254.42,606.18,367.18,76.33,1661.87,630.84,709.7,664.74,1061.92,1296.85,913.05,3222.84,2365,362.95,103.3,1941.77,602.09,722.56,223.38,803.01,150.49,1680.14,1681.9,2247,1151.36,742.52,965.02,80.93,246.38,2359.97,1576.12,2552.86,619.55,720.53,1038.13,64.21,751.48,454.24,77.19,2291.9,1718.05,2445.94,862.47,1467.21,553.07,282.26,346.62,1475.54,496.11,1576.34,187.54,405.33,586.56,914.57,1121.6,677.44,1175.86,187.88,1913.94,1839.56,182.64,866.88,398.12
1923,589.45,720.53,1268.22,416.01,716.66,1153.88,1249.1,78.23,543.63,526.53,1261.55,418.7,942.14,1017.4,819,2213.4,615.09,95.96,683.69,1839.26,1038.39,1730.55,2016.95,3082.82,473.76,491.17,531.68,1615.98,1726.3,2410.88,1955.94,1311.87,497.27,692.9,91.38,799.16,1377.48,1710.79,33.99,726.91,926.3,567.33,577.67,2621.81,885.79,894.38,1150.12,742.18,2123.91,1927.58,605.1,1000.09,2659.71,1195.98,250.34,947.22,243.62,840.05,2050.93,1970.39,1993.62,97.1,239.91,792.77,398.96,138.71,2017.37,731.32,722.46,737.46,1005.02,1404.11,1172.04,3057.37,2365,334.53,105.45,1941.77,687.11,732.76,211.8,1127.43,390.51,1296.63,1744.69,2125.92,1183.71,800.27,1005.36,123.41,291.46,2294.11,1564.11,2760.45,606.76,691.72,1050.94,72.57,603.9,444.12,79.12,2084.4,1690.57,2214.64,782.59,1560.35,624.64,284.87,338.66,1545.89,546.07,1806.82,250.66,461.45,573.18,1095.77,1299.2,487.73,1162.46,212.31,1801.93,1907.51,183.38,1086.9,823.92
1924,592.01,619.78,1235.9,438.72,692.83,1044.9,1036.41,64.99,402.69,434.88,1069.06,443.21,875.74,1133.65,901.65,2739.18,614.9,84.7,587.02,2114.68,1004.01,1923.2,2016.95,3534.18,389.56,490.17,496.36,1513.97,1634.71,2612.47,3500.07,1437.47,584.13,608.25,67.42,682.72,1393.64,2300,44.28,656.24,816.65,537.73,528.64,2918.21,790.23,843.6,1175.62,698.86,2905.43,1934.47,589.26,1098.79,2967.41,1338.18,256.75,955.93,323.66,862.72,1872.79,2545.41,1380.87,121.6,227.6,576.36,386.24,111.76,1832.28,626.76,921.61,664.31,932.08,1398.35,847.54,3461.01,2365,383.12,110.87,1941.77,645.75,687.4,222.74,844.47,201.81,1547.81,1949.26,2593.72,1254.59,736.06,1058.41,85.94,318.58,2531.47,1530.09,2814.84,596.86,834.21,845.23,69.71,617.02,424.1,78.34,2516.2,1733.14,2069.35,759.78,1324.19,641.89,312.37,347.8,1553.86,548.32,1372.14,215.73,492.57,582.33,795.06,1131.41,458.88,898.35,218.2,1830.13,1851.95,177.95,814.36,653.54
1925,570.24,624.71,1127.37,434.91,711.17,1024.32,1002.94,63.61,551.56,408.46,1243.68,277.06,1045.96,1156.02,888.86,2599.22,670.93,62.84,688.38,2190.83,1067.43,1708.19,2016.95,3730.61,543.18,497.58,562.68,1477.46,1686.03,2666.77,2579.11,1189.36,321.07,776.8,81.38,702.8,1394.86,2250.3,38.5,756.05,863.09,577.68,520.89,2445.71,833.74,820.08,1315.6,619.7,2532.43,1930.13,700.3,1073.38,2719.27,1067.39,180.31,929.57,197.09,822.7,1890.13,1628.32,1569.19,80.83,244.95,632.36,282.18,101.68,2092.62,738.87,901.88,734,1072.76,1392.92,1307.03,3668.21,2365,328.24,104.26,1941.77,658.63,829.86,227.87,1278.02,381.7,1640.22,1888.77,2266.46,1213.28,911.46,1096.94,84.36,232.13,2405.08,1609.97,2583.91,687.17,782.9,1123.17,66.42,699.34,450.22,78.15,2858,1689.92,1912.42,924.9,1644.04,600.36,246.47,336.45,1450.96,340.69,1434.88,244.51,563.75,550.77,1073.65,1127.81,629.87,1175.75,145.47,1771.45,1791.53,176.62,1149.01,957.01
1926,604.92,703.36,1141.91,412.99,764.08,1039.84,997.52,71.44,557.68,514.87,1351.43,382.26,881.87,1016.64,689.47,2323.04,503.37,78.46,640.7,2077.48,1048.29,1782.86,2016.95,3115.9,361.61,496.06,633.72,1668.91,1603.64,2536.98,2710.07,1339.31,638.91,816.24,51.43,738.5,1402.13,1584.42,33.19,586.52,949.2,613.09,464.59,2393.75,861.32,977.25,1143.6,581.34,2579.71,1932.73,691.53,1081.84,2745.34,1040.19,242.83,1051.38,283.2,949.25,1960.3,1734.95,1457.48,109.03,267.55,745.64,317.19,106.27,1700.22,681.52,767.72,723.61,935.69,1372.8,1195.41,3136.63,2365,303.55,83.7,1941.77,609.19,779.77,223.7,1079.99,225.93,1410.33,1834.45,2376.1,1137.41,776.4,1042.47,100.72,312.99,2364.72,1510.22,2561.21,696.6,797.47,981.94,69.37,639.93,433.96,77.95,2158.2,1726.9,1943.63,913.48,1740.11,596.11,309.67,334.36,1611.61,365.86,1515.53,196.39,379.55,527.38,942.23,1228.65,526.23,1239.61,187.75,1838.21,1933.52,182.59,1181.93,829.74
1927,587.43,720.16,1286.55,429.78,783.1,967.66,1118.02,71.91,481.16,543.04,1201.14,420.66,864.17,1114.04,926.98,2612.06,612.88,64.3,698.59,2211.78,1092.78,1734.09,2016.95,3680.26,323.9,514.2,609.95,1748.12,1680.39,2777.15,2800.13,1202.85,377.05,675.55,82.71,904.67,1392.8,2391.86,29.59,730.33,758.71,640.08,546.33,3597.82,919.38,999.27,1175.26,663.98,3012.57,1933.4,617.23,1072.33,2817.79,1185.43,197.56,846.44,279.27,889.69,1698.79,2005.02,1549,114.32,235.39,576.43,279.92,93.05,1816.46,701.87,763.87,703.8,930.78,1451.41,1105.44,3348.81,2365,388.07,127.75,1941.77,662.8,754.11,225.7,1006.75,217.56,1353.17,1771.85,2361.08,1245.26,789.39,1028.55,112.13,272.27,2404.44,1539.26,2288.87,687.85,828.09,957.26,66.51,623.12,458.46,77.27,2524.8,1724.81,2871.21,796.29,1454.07,700.58,275.04,356.12,1578.07,382.95,1868.27,194.92,383.52,514.49,982.86,973.97,522.54,1063.52,137.04,2096.66,1897.91,179.2,928.34,557.72
1928,574.94,683.03,1291.56,385.74,670.97,910.56,1106.79,77.8,538.69,553.82,1192.66,416.54,870.68,1120.24,905.76,2581.95,570.56,47.15,642.22,2026.89,1134.88,1740.06,2016.95,3525.45,381.52,475.11,565.69,1664.23,1745.3,2764.61,2586.27,1239.84,498.08,679.31,93.16,764.4,1531.4,2405.25,26.61,784.13,834.75,585.02,556.53,2778.05,870.14,904.73,1192.67,776.98,3022.64,1934.38,520.48,1018.68,2792.77,1356.59,211.88,810.51,263.7,969.17,1699.52,1811.13,1624.26,96.32,289.09,572.42,469.42,101.48,1762.23,759.97,744.1,716.04,904.61,1486.05,995.04,3159.9,2365,372.41,107.44,1941.77,630.99,710.09,216.99,958.53,224.99,1309.23,1910.06,2357.04,1237.37,761.69,986.18,114.44,238.9,2327.19,1549.16,2436.6,570.06,795.24,1157.09,35.89,578.83,437.96,75.29,2494.6,1716.4,2544.18,668.92,1398.63,631.3,279.79,359.78,1425.14,532.69,1636.44,331.61,434.98,526.35,929.88,1123.93,490.55,1137.41,180.69,1875.64,1797.51,173.12,949.4,614.58
1929,570.58,702.43,1096.88,399.25,584.77,967.25,1034.62,69.46,436,515.28,1014.31,386.62,696.81,1235.08,906.46,2441.02,639.69,85.9,563.07,2168.83,1157.58,1808.73,2016.95,3337.85,388.71,480.35,588.02,1300.16,1685.9,2516.22,1915.14,1288.06,532.26,621.29,85.16,657.6,1363.92,2234.17,49.61,627.22,879.4,560.24,543.13,3578.04,694.82,780.47,1355.43,704.99,2884.63,1934.95,575.35,1026.26,2693.69,1167.59,222.01,951.65,309.8,793.51,1788.43,1252.73,1520.77,113.52,198.68,604.46,341.11,124.45,1825.71,604.71,937.89,601.69,761.15,1472.4,1085.12,3060.74,2365,355.02,117.48,1941.77,703.54,679.78,227.32,1105.53,196.06,1474.07,1801.17,2148.16,1250.07,595.2,1065.36,105.27,337.22,2191.47,1548.65,2485.1,545.1,633.98,979.44,63.24,578.14,428.24,78.09,2005.2,1731.45,2251.56,731.54,1245.32,647.74,253.35,338.51,1371.54,437.28,1708.79,267.61,535.19,559,861.89,1096.75,480.04,967.02,154.41,1869.44,1897.7,181.89,1007.7,848.95
1930,588.29,608.31,1239.81,482.59,792.5,845.88,1107.68,62.63,565.33,508.76,1193.5,402.08,995.8,1085.72,885.81,2292.59,582.2,70.73,697.25,2231.33,1185.69,1669.01,2016.95,2937.69,367.18,493.05,660.01,1798.93,1611.74,2485.95,1683.45,1387.69,477.7,754.71,74.33,774.29,1361.47,2110.76,39.16,666.94,867.08,621.9,486.9,2603.81,1033.94,910.36,1250.08,814.21,2810.21,1933.05,686.95,1017.28,2680.84,1305.31,240.78,1099.43,252.14,921.62,1710.91,1598.92,1497.84,86.31,233.96,831.54,324.74,100.83,1946.23,721.16,681.5,742.75,1096.84,1195.22,918.24,2851.94,2365,348.18,112.68,1941.77,669.19,764.54,232.61,888.69,163.24,1250.65,1629.02,2035.63,1277.79,867.69,997.76,85.77,278.48,2170.51,1556.73,2199.77,672.1,699.54,1054.42,52.12,634.11,435,75.68,2174.1,1717.72,2194,901.32,1557.77,605.07,225.01,345.34,1406.89,443.02,1651.13,226.42,407.7,547.56,1173.73,1177.41,568.69,1250.31,162.59,1837.84,1752.32,176.33,930.49,651.68
1931,620.55,639.82,1166.38,444.95,784.83,995,1148.94,79.49,557.73,660,1181.83,476.08,865.88,1164.34,871.79,2190.18,682.98,115.7,670.23,2243.7,1087.74,1698.97,2016.95,3130.49,339.95,497.53,525.78,1646.37,1605.73,2672.98,2483.06,1406.58,436.12,685.61,73.45,700.3,1481.45,1973.13,27.06,645.96,798.66,521.52,567.18,2941.3,879.87,1089.42,1301.85,799.75,3162.34,2033.98,595.67,1132.77,2997.16,1165.9,247.08,888.7,305.27,887.2,1748.95,2897.24,1691.49,112.99,229.42,628.09,401.08,98.97,2073.71,642.03,786.98,642.19,933.88,1505.14,1221.22,3137.53,2365,349.83,84.68,1941.77,687.15,813.07,228.28,1022.83,255.45,1406.74,1665.08,2316.99,1250.34,772.9,976.53,121.31,297.64,2302.91,1473.9,2394.85,662.28,663.14,1018.32,104.15,656.65,417.93,78.52,2569,2019.4,2333.17,782.98,1395.93,617.13,285.15,355.09,1399.85,577.14,1779.7,313.63,444.13,632.46,1076.49,1211.67,571.51,1130.65,222.98,2220.36,1704.92,163.62,1053.87,556.13
1932,597.49,699.29,1147.67,401.76,647.35,883.18,883.73,78.76,572.07,501.66,972.17,403.54,850.19,946.53,844.17,2470,452.12,85.13,655.96,2293.24,1142.37,1612.61,2055.35,4216.1,374.96,538.86,674.54,1509.49,1519.18,2621.6,2787.38,1351.49,276.93,555.73,77.94,690.6,1530.25,2417.49,32.39,653.28,830.3,691.68,597.74,2882.92,891.74,916.47,1155.53,509.61,3008.1,1978.75,519.54,1064.04,2979.44,1044.07,209.87,933.01,172.65,866.14,1674.24,2051.07,1652.07,66.5,222.34,680.36,372.56,90.96,1848.06,636.79,618.78,678.79,901.04,1577.39,967.97,3449.87,2365,370.77,111.5,1941.77,488.63,795.22,249.07,936.15,174.88,1185.44,1641.91,2402.52,1115.14,739.24,1108.66,121.31,292.11,2369.68,1591.5,2580.06,551.37,789.54,1151.65,99.06,637.52,436.02,79.13,2126.3,1948.47,2514.3,610.68,1246.64,601.38,196.3,350.23,1509.84,467.76,1448.71,240.1,416.04,418.58,1015.37,1114.72,608.98,1233.42,186.26,1820.73,1824.06,182.77,1030.64,774.62
1933,580.34,625.3,895.06,456.36,597.84,1018.35,1132.35,76.72,498.62,500.97,1294.85,397.97,657.65,1239.8,932.74,2370.64,692.88,54.13,754.8,2055.38,1037.32,1717.5,2228.61,3940.69,279.92,527.13,590.67,1441.5,1731.74,2714.11,3305.92,1621.84,270.29,623.16,93,538.16,1436.72,2018.56,27.37,492.07,765.61,631.65,416.4,3673.09,747.06,1009.99,1372.44,703.54,3068.83,1986.75,666.88,1255.73,2962.24,827.66,198.36,1088.76,173.63,942.49,1680.02,3416.89,1478.63,69.62,222.08,534.71,363.39,97.03,1666.54,593.62,713.84,686.21,633.56,1550.27,955.4,3377.89,2365,389.32,126.15,1941.77,644.96,798.94,225.63,869.25,170.04,1692.59,1681.29,2560.5,1298.4,567,861.58,121.31,336.27,2480.71,1526.95,2449.1,595.15,675.91,868.43,46.9,787.81,424.5,76.53,2428,2361.26,2521.6,828.14,1756.99,483.29,208.12,389.34,1514.73,485.99,2162.57,253.1,396.75,585.43,923.63,1097.63,684.01,974.18,213.05,2074.91,1804.23,160.95,924.16,582.57
1934,608.76,599.63,1093.37,459.84,603.38,1090.72,1050.21,78.26,526.07,461.38,1090.05,337.94,728.26,1220.01,811.12,2728.49,486.24,96.24,555.2,1864.39,1085.04,1810.24,1527.2,4085.77,506.89,505.56,578.84,1455.22,1616.01,2658.02,2977.83,1330.85,492.47,603.48,94.74,758.45,1495.05,2625.77,35.04,615.53,796,543.55,580.64,3110.95,792.3,840.32,1307.54,662.63,2379.21,1847.05,569.16,1109.64,2888.88,1114.39,239.83,1088.1,295.26,990.54,1760.97,2529.26,1440.17,105.76,256.22,541.99,431.11,120.67,1614.36,607.22,1106.02,595.98,748.41,1422.37,1268.81,3548.47,2365,344.42,103.13,1941.77,609.69,685.92,220.26,1118.08,553.15,1298.61,1645.41,2408.48,1230.62,634.38,1157.79,121.31,261.48,2470,1564.42,3266.26,586.88,663.3,840.63,91.52,562.55,399.4,79.57,2579.7,1517.55,1802.39,726.5,1676.48,669.57,266.58,412.68,1615.18,481,1616.1,351.93,564.79,478.61,983.3,1084.85,412.97,1234.94,208.62,1837.93,1937.34,173.43,1088.22,686.23
1935,599.45,682.74,1219.01,364.38,727.01,1000.61,1103.37,78.14,456.01,495.48,1231.61,402.2,922.92,1223.01,993.85,2202.65,592.37,88.65,683.82,1780.08,997,1781.8,1850.99,3491.16,294.56,507.97,619.89,1838.76,1691.04,2796.47,3334.2,1254.76,556.25,655.66,83.19,774.64,1451.9,2234.88,22.88,764.85,918.32,573.72,608.69,3778.69,945.82,779.32,1293.96,691.7,2559.26,1787.74,581.65,1023.91,2801.03,1036.69,230.17,957.76,273.8,940.8,1824.64,2103.58,1858.35,106.28,205.84,671.32,417.77,127.27,1908.7,718.09,705.19,723.5,952.86,1587.3,961.37,3310.24,2365,385.21,118.1,1941.77,598.31,784.54,217.8,901.6,224.65,1237.04,1829.24,2544.49,1210.93,813.32,1077.31,121.31,309.46,2508.98,1488.95,2463.33,634.18,680.4,1052.12,80.53,574.44,437.06,78.44,2131.5,1739.83,2035.32,771.04,1412.95,714.5,344.23,351.76,1718.59,487.33,1864.34,207.62,380.73,608.39,1020.54,1196.84,529.1,1007.89,168.15,1876.48,1809.12,177.91,870.76,488.09
1936,555.54,637.04,1116.29,432.47,729.37,963.03,1182.14,74.38,477.16,747.3,1231.75,434.74,852.53,993.75,934.69,2601.92,657.23,71.66,621.24,2598.48,1067.64,1656.58,2186.17,3506.07,434.21,511.4,565.58,1703.24,1667.19,2499.73,2870.21,1549.92,491.77,714.98,78.79,701.16,1437.39,1872.77,28.47,654.46,919.09,849.93,511.7,2870.3,896.05,1213.28,1142.79,854.22,3266.76,2144.33,688.76,1165.1,2909.44,1088.77,210.24,947.93,299.25,940.07,1618.87,3039.15,1635.97,104.52,213.3,766.43,322.42,127.98,1604.61,646.41,829.65,670.78,924.24,1424.96,1209.05,3415.18,2365,417.79,124,1941.77,762.08,772.5,226.09,1124.15,251.78,1774.22,1913.41,2390.67,1211.66,734.92,1002.03,107.55,274.63,2425.72,1430.31,2562.8,639.89,1053.41,984.76,60.43,627.59,428.49,77.07,2252.8,2121.13,2535.9,916.01,1507.38,597.91,265.98,405.33,1384.5,344.18,1696.93,251.91,503.09,654.06,1212.08,1194.56,540.87,1385.32,144.76,1943.68,1782.82,178,1086.59,780.96
1937,628.36,688.91,1096.3,402.73,712.74,1094.4,1415.8,75.5,388.91,583.46,1411.48,425.15,930.23,976.06,799.03,2287.3,752.44,64.74,650.62,2587.06,1077.45,1768.87,1552.31,3854.68,382.12,512.41,611.71,1705.87,1477.68,2685.28,3765.12,1380.46,389.43,799.74,54.58,698.47,1383,2023.45,33.3,653.86,860.84,715.18,470.32,2488.42,918.52,931.06,1109.56,852.86,3358.49,2060.14,809.91,1064.45,2890.03,1103.48,196.31,1045.63,272.05,1136.77,1641.6,2907.96,1591.01,103.22,208.82,809.01,396.61,114.88,1610.96,655.17,714.86,644.81,963.16,1391.97,1024.89,3343.95,2365,312.42,106.81,1941.77,871.05,773.04,234.72,933.52,328.07,1535.28,1647.91,2821.86,1134.31,774.75,872.87,107.21,294.22,2592.39,1376.27,2592.96,646.57,1125.91,860.86,57.7,715.37,429.39,78.06,2363.9,1871.95,2347.65,1006,2032.1,590.13,233.76,357.16,1508.19,420.9,1637.52,158.92,444.46,531.24,1093.96,1287.03,598.27,980.65,154.52,2101.88,1814.36,168.79,965.52,614.28
1938,612.36,684.21,1211.6,381.83,659.3,996.63,1006.12,63.57,488.49,511.5,1074.24,371.53,805.38,948.82,857.74,2741.75,561.34,77.43,583.05,1909.83,1011.14,1681.95,2101.69,3720.46,385.72,499.38,594.42,1447.91,1584.07,2956.81,3616.63,1290.89,567.89,722.14,78.14,724.98,1418.49,2294.81,34.81,579.36,795.27,493.73,522.68,3606.57,738.21,903.34,1194.39,745.32,2620.38,1828.44,576.45,1111.72,2886.85,1222.87,230.01,994.2,412.43,790.2,1939.93,2172.6,1640.78,154.35,234.73,613.88,305.34,114.52,1583.4,585.28,862.65,600.87,821.71,1465.15,1038.08,3224.12,2365,341.96,106.45,1941.77,616.85,696.8,231.17,904.89,321.4,1663.8,2026.61,2649.63,1154.87,714.61,1242.27,84.66,264.5,2608.24,1388.9,2496.5,639.53,572.65,996.62,58.79,616.57,441.22,77.05,2251.8,1638.66,2852.28,812.47,1188,655.94,323.85,372.79,1743.5,432.38,2058.13,251.12,469.37,597.6,893.7,1073.33,523.33,1235.67,176.9,2218.35,1758.08,170.19,977.84,719.26
1939,578.12,618.99,1143.55,499.74,835.38,974.93,1295.38,81.65,619.91,619.91,1244.99,419.02,1015.54,1106.53,913.78,2485.29,690.33,125.12,587.88,1733.9,1085.84,1726.84,1617.21,3642.9,466.34,534.02,616.96,1918.82,1631.26,2463.6,2748.15,1278.74,441.69,875.27,82.15,678.14,1446.55,2096.98,30.96,467.51,762.97,663.85,423.34,3516.45,963.39,1177.56,1232.49,858.82,2352.84,1802.93,647.95,989.79,2804.8,1054.3,242.91,848.03,332.38,986.56,1832.55,2234.23,1404.63,129.2,220.04,498.51,288.56,170.63,1761.63,524.41,911.16,607.25,1052.45,1570.98,1116.26,3113.96,2365,362.86,103.29,1941.77,752.32,674.45,216.82,1194.15,302.77,1368.26,1667.82,2252.21,1311.45,833.49,995.86,109.5,263.03,2428.93,1546.38,2727.69,683.97,907.11,1314.79,117.28,688.78,433.56,83.47,2395.2,1711.99,2514.96,924.65,1316.84,560.38,297.42,382.23,1493.23,376.97,1690.99,265.8,566.46,625.58,908.93,1026.24,553.68,1233.96,186.67,1728.3,1853.99,176.3,1144.29,1021.79
1940,579.13,695.69,1110.47,409.59,762.12,956.71,1277.14,72.49,641.85,590.5,1192.52,433.8,898.34,1107.66,836.65,2533.48,804.28,39.8,623.58,2334.56,1009.76,1773.17,1540.31,2823.76,459.17,499.2,692.17,1801.58,1570.38,2460.04,2332.59,1264.62,536.5,747.21,72.37,656.18,1467.58,1859.59,27.83,594.33,793.45,652.41,471.87,2587.27,893.16,1063.12,1183.09,850.91,2723.85,1992.58,768.03,1109.35,2621.97,1121.63,213.88,1013.16,305.38,938.48,1653.96,2230.47,1385.37,106.25,238.36,707.92,375.95,107.45,1672.6,647.74,801.68,702.16,984.14,1520.25,1095.45,2799.33,2365,314.99,118.86,1941.77,820.58,644.18,246.31,1015.87,278.27,1465.1,1703.32,2181.9,1204.93,800.58,939.03,104.48,256.19,2280.8,1520.7,2221.77,651.41,915.85,1277.15,29.36,777.31,440.2,75.35,1877.6,1810.32,1925.55,958.55,1516.54,581.08,335.29,327.37,1315.72,397.59,1561.08,229.94,494.06,711.71,1071.77,1214.02,606.59,1642.19,207.09,1642.83,1778.31,171.67,990.81,709.82
1941,594.62,740.46,1016.47,490.58,749.2,891.02,1054.8,68.29,546.64,454.8,1258.4,363.74,835.2,1080.82,794.56,2831.52,689.35,41.87,588.43,2025.72,1102.77,1684.77,1885.83,2685.3,328.84,514.96,681.66,1490.1,1548.4,2158.65,2793.4,1175.77,378.33,892.04,77.73,597.79,1464.34,2290.76,30.1,460.01,808.38,735.54,347.58,2693.46,889.33,1020.8,1291.97,609.13,2739.18,1980.96,684.27,963.47,2742.37,980.53,243.04,790.3,301.04,962.75,1995.75,1922.76,1827.92,111.22,280.35,764.86,407.12,137.99,1878.66,521.8,659.74,562.71,859.01,1428.68,1011.82,2927.33,2365,305.95,76.32,1941.77,632.56,841.24,206.16,802.76,158.04,1333.47,1951.84,2457.05,1197.08,713.76,864.63,96.4,228.79,2234.46,1591.63,2341.04,695.61,1010.49,1155.24,44.74,851.09,450.61,76.43,2251,1758.27,2386.16,910.4,1476.12,523.16,261.74,300.63,1480.17,503.5,1680.22,222.97,421.63,574.26,1124.07,1320.97,715.5,1271.57,203.91,1752.96,1888.04,176.14,1049,632.87
1942,581.24,720.07,1075.84,509.38,618.31,934.28,1068.1,68.42,484.57,591.52,1018.36,451.12,840.27,890.25,821.92,2367.46,570.59,64.54,514.64,2320.96,1104.62,1695.97,2143.79,3200.73,364.11,504.28,542.17,1383.95,1631.29,2339.59,3483.77,1439.83,492.72,601.77,74.96,647.48,1475.44,1673.1,30.22,591.06,780.18,641.28,464.54,2272.23,769.94,931.52,1160.76,702.61,3012.64,2042.58,525.42,1143.09,2848.3,1065.57,223.9,985.71,288.06,817.69,2026.55,3016.11,1497.8,119.82,248.24,630.87,424.11,107.71,1712.17,564.28,1027.8,547.84,814.03,1271.37,958.81,3204.65,2365,318.87,74.43,1941.77,622.32,732.74,200.83,968.29,343.59,1614.99,1735.17,2623.23,1082.91,756.2,1040.96,86.05,368.4,2574.3,1395.57,2341.1,533.96,912.47,1038.48,62.83,584.39,453.78,74.56,2726.4,1715.54,2256.59,683.17,1090.4,557.72,320.54,333.58,1827.72,559.34,1902.13,230.76,549.91,618.34,1064.04,1212.21,453.34,1118.03,192.29,2179.01,1799.01,170.73,925.68,554.99
1943,576.76,627.55,1089.55,420.97,571.18,938.66,1013.03,82.29,507.79,501.08,1017.26,476.73,822.52,1015.96,952.18,2502.31,576.27,69.48,625.95,1920.14,1039.47,1739.71,1745.97,3005.37,470.71,483.19,482.19,1254.26,1600.29,2661.16,3317.45,1214.78,447.41,554.28,99.42,670.18,1445.92,2499.81,39.38,691.28,725.5,605.03,560.25,2628.4,750.49,891.01,1256.13,622.46,2999.4,1917.71,534.85,1084.13,2852.1,1083.74,255.35,1060.37,305.44,800.35,1780.15,2128.02,1524.25,127.18,208.95,528.39,371.04,139.77,1642.96,644.76,1117.22,681.28,855.8,1225.64,935.08,2893.95,2365,396.38,138.33,1941.77,579.04,759.4,247.92,929.87,248.1,1489.85,1784.94,2691.77,1190.46,665.47,1105.23,94.65,257.83,2454.79,1532.07,2341.11,526.34,770.76,1038.72,56.3,571.92,451.35,75.28,1915.6,1777.65,2577.41,676.14,1274.44,591.48,297.54,363.94,1519.82,498.24,1947.86,253.99,588.27,555.09,845.51,976.71,497.09,1077.89,202,2045.13,1734.48,168.38,997.97,789.75
