,China,United States,United Kingdom,Australia,Germany,Angola,Albania,United Arab Emirates,Argentina,Armenia,Austria,Azerbaijan,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,Belarus,Belize,Bolivia,Brazil,Barbados,Brunei,Botswana,Canada,Chile,Switzerland,Cameroon,Colombia,Costa Rica,Cuba,Cyprus,Czech Republic,Algeria,Denmark,Dominican Republic,Ecuador,Egypt,Estonia,Ethiopia,Spain,Finland,Fiji,France,Georgia,Ghana,Greece,Guatemala,Honduras,Hungary,India,Indonesia,Ireland,Iran,Iceland,Israel,Italy,Cambodia,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kyrgyz Republic,Kuwait,Sri Lanka,Latvia,Lesotho,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Mauritania,Mauritius,Macedonia,Mexico,Mongolia,Mozambique,Namibia,Nepal,New Zealand,Nicaragua,Nigeria,Netherlands,Norway,Oman,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Paraguay,Qatar,Romania,Russia,Saudi Arabia,Singapore,El Salvador,Suriname,Slovakia,Slovenia,Sweden,Syria,Chad,Thailand,Tajikistan,Trinidad and Tobago,Tunisia,South Africa,Turkey,"Tanzania, United Republic of",Uganda,Ukraine,Uruguay,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
1910,592.42,575.31,1169.18,539.63,781.08,1002.67,1144.97,71.26,453.98,483.85,1472.51,354.29,1002.43,1128.71,799.76,2489.81,594.68,75.76,677.64,2124,1061.27,1737.08,1958.24,3828.11,416.91,511.9,526.56,1981.77,1579.37,2840.18,2721.15,1392.65,507.54,872.19,70.19,724.87,1407.35,2001.86,36.2,608.61,832.93,621.43,491.09,2819.9,1058,814.09,1396.66,770.5,2719.79,1932.31,713.65,1166.19,3073.91,1141.84,224.91,772.57,243.66,1070.21,2001.28,2881.22,1717.88,99.7,221.97,571.69,383.9,109.94,1553.6,619.98,876.95,659.58,1068.91,1148.05,1085.76,3370.56,2365,308.32,109.61,1941.77,654.96,667.97,218.81,1028.94,281.57,1583.53,1899.04,2388.34,1110.93,789.71,936.73,100.63,307.38,2396.93,1516.47,2811.6,646.14,924.91,941.78,56.13,648.29,420.21,77.04,2261.9,1718.05,2424.36,933.77,1781.18,583.61,293.01,344.18,1683.35,495.6,1817.31,231.91,486.35,563.48,902.42,1102.99,564.64,855.72,155.38,1950.07,1887.55,176.48,964.59,646.99
1911,662.48,668.55,1052.56,445.54,546.12,933.1,955.88,74.27,531.86,490.6,1041.11,439.59,705.82,1069.01,790.03,2787.42,549.18,107.83,517.03,2114.12,1126.54,1711.17,2016.95,2725.44,393.29,514.75,526.19,1349.2,1572.54,2559.25,2635.3,1189.08,718.72,599.48,91.97,709.49,1454.08,1900.49,44.37,610.54,852.1,620.26,520.48,3016.95,755.6,799.28,1215.68,671.11,2703.63,1932.31,522.88,975.16,2614.68,1034.58,240.35,790.08,453.82,944.79,1643.54,1456.25,1964.42,177.92,247.38,650.58,384.03,135.47,1487.17,579.69,871.45,537.31,723.02,1286.25,983.84,2939.76,2365,317.14,92.21,1941.77,633.66,693.32,224.8,1067.29,187.79,1541.53,1716.65,2272.45,1262.44,602.18,956.59,110.96,229.69,2430.19,1543.69,2415.26,534.13,902.97,1150.42,98.12,590.82,410.32,81.03,2167.3,1718.05,2548.85,702.27,1279.9,530.38,387.27,352.78,1325.02,461.55,1817.85,316.23,509.12,581.06,967.04,1107.62,513.56,1201.28,204.12,1970.12,1857.96,196.42,901.45,720.15
1912,592.93,702.29,1252.23,393.27,767.92,1090.53,1037.17,89.85,527.71,565.84,1305.31,356.81,894.28,800.05,715.21,2349.02,709.89,120.53,753.77,2156.25,1120.68,1770.94,2016.95,2499.64,342.22,504.41,544.85,1679.69,1570.44,2683.4,2470.71,1221.16,478.37,789.46,86.13,830.07,1392.13,1945.32,37.89,662.14,800.08,501.58,533.14,2807.02,843.31,988.98,1009.09,703.28,2742.34,1932.31,705.9,1009.97,2791.51,1095.92,203.89,712.56,356.18,874.84,1920.52,1262.87,1667.73,128.48,238.73,773.44,337.56,95.42,1757.04,679.48,706.31,719.49,866.77,1237.83,902.04,2856.3,2365,290.84,96.16,1941.77,686.79,695.31,224.6,851.3,341.92,1301.63,1811.95,2257.99,1018.54,847.84,947.23,155.19,260.09,2384.95,1530.72,2178.13,684.83,813.19,976.66,110.03,829.45,438.66,81.53,2335,1718.05,2011.59,956.22,1516.43,656.03,312.17,325.01,1499.22,442.39,1817.85,245.84,394.91,584.15,1026.69,1217.8,686.45,1454.62,160.32,1960.75,1789.6,179.47,882.7,482.53
1913,580.04,674.43,1034.8,471.52,675.54,936.47,998.95,91.29,514.89,424.35,1269.72,337.69,826.88,975.71,764.49,2867.63,560,90.28,656.79,2224.91,1101.5,1757.13,2016.95,3108.12,330.37,511.79,603.42,1530.69,1581.19,2733.45,3093.43,1237.26,560.41,688.1,64.53,577.1,1375.47,2359.77,42.11,564.39,730.8,588.53,417.73,2954.6,863.77,824.15,1135.65,624.41,2784.27,1932.31,632.08,1048.18,2785.53,1146.98,216.61,838.3,297.72,830.2,1767.04,1491.61,1496.46,121.44,256.38,657.28,333.58,111.76,1856.33,649.76,654.07,698.77,848.97,1500,1095.58,3229.7,2365,309.47,89.85,1941.77,638.6,788.92,220.69,983.26,235.3,1709.16,1759.86,2462.28,1023.78,709.27,966.01,127.27,279.68,2477.45,1527.28,2317.52,649.63,873.62,983.61,81.36,649.8,436.5,78.36,2999.9,1718.05,2092.8,834.28,1403.87,533.22,322.28,300.74,1485.01,447.5,1817.85,238.77,464.22,576.17,1052.12,989.64,575.08,1196.24,185.26,1995.18,1963.29,177.94,898.95,559.26
1914,611.44,660.7,1157.03,440.59,745.02,847.18,1125.02,78.64,661.23,602.96,1232.86,488.04,895.58,904.71,706.1,2406.6,691.28,82.91,560.73,2183.06,1099.33,1697.62,2016.95,2369.7,397.24,490.68,730.48,1813.83,1571.28,2479.7,2031.08,1150.07,506.96,674.66,80.65,690.47,1455.75,1813.5,38.11,529.56,946.79,601.78,437.09,3140.75,910.35,1020.08,1066.52,754.58,2743.28,1932.31,658.71,1115.66,2500.17,1140.77,245.89,799.82,297.27,980.77,1791.37,1016.26,1665.55,113.98,286.51,687.94,374.39,120.28,1583.4,568.51,771.41,616.29,989.25,1543.6,976.76,2760.41,2365,317.27,87.62,1941.77,701.26,751.01,228.88,1016.81,244.34,1708.23,1491.91,2108.13,955.34,792.15,1000.45,125.43,358.9,2326.5,1521.89,2084.14,599.37,861.05,1233.81,70.53,748.9,428.14,78.84,2224.8,1718.05,2358.63,845.17,1520.12,497.51,314.07,325.33,1492.19,471.07,1817.85,213.49,486.82,587.22,974.54,1252.33,571.06,1694.3,203.77,1979.28,1831.91,185.43,956.75,741.13
1915,644.57,739.74,1144.53,393.21,719.82,884.77,1516.92,68.3,535.61,656.32,1291.48,427.6,949.83,1020.35,784.95,2720.84,751.38,93.38,660.76,2116.2,1116.82,1593.33,2016.95,2983.94,412.28,490.87,644.12,1663.86,1634.66,2774.52,3666.79,1625.82,287.83,830.58,83.26,660.29,1376.82,2526.67,31.34,631.48,846.27,694.18,451.94,2457.61,901.18,1150.79,1187.96,776.64,2707.78,1932.31,826.06,1117.7,2835.26,1112,232.61,697.45,171.19,1098.67,1924.42,4377.06,1768.13,79.14,280.23,686.3,331.66,124.07,1496.35,617.55,829.74,627.79,972.93,1437.01,957.87,2982.6,2365,350.47,98.22,1941.77,889.75,692.39,230.72,929.74,258.77,1748.3,1676.9,2591.76,1143.7,860.58,844.71,98.51,224.49,2581.66,1533.2,2314.66,645.94,918.97,1017.57,73.58,794.04,454.83,78.85,2295.3,1718.05,2539.29,1021.69,1795.28,560.34,254.46,331.35,1597.05,317.87,1817.85,322.55,470.78,567.08,1006.21,1261.17,625.24,1153.13,161.15,1964.57,1857.87,173.5,897.72,732.43
1916,583.41,669.39,1264.9,539.83,784.52,1058.32,1138.04,92.15,390.96,490.78,1435.41,364.25,983.73,1033.59,790.8,2580.9,571.83,77.26,765.3,2206.59,1041.77,1766.71,2016.95,3411.2,331.24,504.63,528.88,1983.52,1721.46,2683.04,3983.59,1388.98,493.38,805.31,84.07,845.37,1416.73,2351.05,47.71,684.41,984.74,613.49,493.66,3492.81,925.81,791.43,1320.92,657.03,2726.71,1932.31,669.39,1225.26,3004.7,1262.47,225.05,668.84,384.44,1078.27,1898.6,3389.17,1771.55,131.27,215.8,758.05,278.64,103.07,1379.98,708.12,660.61,749.11,1056.77,1597.35,1146.3,3165.91,2365,344.09,104.92,1941.77,651.73,742.77,222.72,1046.32,279.04,1625.11,1863.56,2733.31,1284.54,812.9,1024.72,163.52,342.88,2632.73,1539.85,2850.79,673.18,911.4,1013.63,68.79,645.57,426.77,78.43,2177.8,1718.05,2535.18,916.36,1788.54,631.48,310.36,337.21,1649.38,297.63,1817.85,254.11,388.84,548.18,1041.12,1246.97,565.43,715.84,160.36,1959.7,1732.45,185.77,925.86,576.5
1917,589.94,584.82,1077.18,569.49,658.1,935.43,932.87,73.29,426.01,407.13,1090.08,281.1,833.13,1259.34,797.93,2560.38,592.01,73.6,670.72,2100.78,1027.6,1790.73,2016.95,3546.85,392.41,496.17,495.46,1561.88,1586.91,2885.51,3513.25,1206.21,467.81,568.7,82.22,701.82,1391.16,2701.29,45.67,588.1,928.76,565.65,506.23,3672.06,842.93,847.94,1519.57,688.49,2705.74,1932.31,491.95,1290.23,3056.75,1008.58,170.25,685.76,365.27,926.8,2113.56,2259.52,1603.85,116.15,204.07,765.12,156.06,97.94,1744.94,628.98,928.52,651.16,871.91,1526.9,1057.12,3444.3,2365,337.13,98.56,1941.77,579.31,587.39,222.38,1026.87,349.57,1689.7,2021.67,2592.3,1260.47,738.58,1018.8,105.61,320.76,2544.3,1574.26,2717.06,551.81,654.76,858.53,67.78,527.83,412.42,78.2,2606.8,1718.05,2326.01,630.22,1501.4,532,286.6,332.95,1624.97,146.65,1817.85,269.51,595.62,562.3,1039.28,1272.58,558.03,905.88,83.22,1965.17,1818.84,178.99,963.4,665.98
1918,637.03,667.46,1184.53,455.89,686.86,962.62,1011.51,71.54,604.58,519.37,1244.05,441.75,875.62,996.85,888.56,2402.15,611.56,77.88,586.21,2110.93,1181.84,1759.94,2016.95,3378.6,483.86,506.09,635.26,1565.81,1699.29,2607.78,2316.46,1193.71,617.12,728.97,89.57,643.87,1395.09,2257.58,47.67,589.7,734.38,569.22,464.23,2440.75,774.47,804.16,1240.92,781.74,2727.64,1932.31,641.43,830.43,2634.22,1183.21,224.77,973.02,401.55,870.8,1755.01,2094.19,1685.31,147.67,212.69,492.63,323.08,108.31,1505.26,538.69,808.71,516.98,936.34,1287.54,920.43,3324.9,2365,369.93,116.83,1941.77,652,702.19,213.65,1123.06,332.04,1519.96,1934.65,2175.87,1220.96,785.27,960.1,99.63,211.98,2362.99,1561.96,2473.53,608.61,719.4,1184.49,69.63,636.19,418.58,78.98,2341.1,1718.05,2598.42,872.8,1412.01,549.65,338.32,331.62,1437.41,427.01,1817.85,300.42,557.45,580.43,859.11,860.27,508.13,1149.87,174.51,1945.58,1936.62,168.72,894.51,912.45
1919,578.85,720.81,1110.78,388.74,697.2,964.54,1287.81,73.88,652.51,596.22,1280.85,438.86,898.77,927.17,791.46,2622.22,776.53,79.54,613.26,2189.76,1208.77,1699.45,2016.95,2942.86,409.23,500.39,662.56,1634.44,1613.1,2617.04,2793.44,1410.49,484.46,800.11,72.26,623.94,1358.07,2076.08,39.01,548.67,756.93,727.91,481.79,3208.87,863.26,1061.37,1050.34,865.88,2767.14,1932.31,683.44,1138.18,2654.27,934.75,210.15,842.75,306.36,872.97,1694.85,3024.2,1663.63,123.32,259.46,607.3,273.77,112.68,1807.34,572.93,577.13,616.35,966.45,1485.99,974.15,2802.21,2365,320.05,98.36,1941.77,772.96,843.99,227.36,911.37,215.85,1322.06,1513.76,2305.24,1074.93,765.24,852.57,103.34,300.61,2449.62,1571.01,2410.65,652.58,891.04,1248.74,69.93,739.67,445.86,78.34,2281.7,1718.05,2463.5,864.35,1697.63,569.97,296.68,332.16,1390.18,418.94,1817.85,241.07,348.15,592.86,982.28,1229.68,643.19,1359.56,181.64,1867.49,1713.88,180.25,1042.49,731.82
